ID	Exhibit	Photo	@Photo_Slug	Description	Name	Bio	@Path
31778	Daft Junk	http://makerfaire.files.wordpress.com/2014/04/24131.jpg	24131.jpg	"Daft Junk recycles a defunct Power Wheels racer, rebuilds it with surplus motors and freebies...and races it against other like-minded Makers."	Jay Johnson	"Daft Junk recycles a defunct Power Wheels racer, rebuilds it with surplus motors and freebies...and races it against other like-minded Makers."	images:24131.jpg
31771	Team Kiss My Snake	http://makerfaire.files.wordpress.com/2014/04/27049.jpg	27049.jpg	Combat robot builders gone racing!!!	Matt Maxham	Combat robot builders gone racing!!!	images:27049.jpg
31756	Swap-o-rama-rama	http://makerfaire.files.wordpress.com/2014/04/air-plant-necklaces.jpg	air-plant-necklaces.jpg	"I am a ceramics artist, glass etching artist, and DIY homesteading enthusiast."	Cheyenne Barr	I am a feminist Jill of All Trades	images:air-plant-necklaces.jpg
31555	Milo's Drone	http://makerfaire.files.wordpress.com/2014/04/ourhero1.jpg	ourhero1.jpg	He has got a little drone and is starting to do well with obstacles.	Milo McConlogue	Milo is the youngest drone competitor - and definitely the cutest.	images:ourhero1.jpg
31287	Recycled Jeans to Skirts	http://makerfaire.files.wordpress.com/2014/04/my-favorite-skirt.jpg	my-favorite-skirt.jpg	Turn any old pair of jeans or pants into an awesome new skirt!	SeamstressErin	"I make pretty things, write patterns, and blog about DIY Sew - Knit - Craft - Quilt - Needlework at SeamstressErin.com"	images:my-favorite-skirt.jpg
31269							images:
31075	DIY T-Shirt Slashing Workshop with Eva Inez Heule	http://makerfaire.files.wordpress.com/2014/04/mg_0196_2.jpg	mg_0196_2.jpg	DIY T-Shirt Slashing workshop with Eva Inez Heule at the Swap-O-Rama-Rama! No prior sewing skills necessary to up-cycle a t-shirt into Trashion! Let's do it!rn	Eva Inez Heule	Using carefully collected second-hand garments and other found textiles I have composed a line of 'Trashion' that will inspire and encourage creative re-use!	images:mg_0196_2.jpg
31034							images:
30960	American Steel Studios	http://makerfaire.files.wordpress.com/2014/04/2014-american-steel-studios.jpg	2014-american-steel-studios.jpg	Print your own Maker Faire memento on the Sharp Teeth Press vintage press!rnCheck out Kijani Grows' smart aquaponic garden! rnLearn how to blend Ethopian spices and pick up some authentic cooking techniques from Brundo.	American Steel Studios	"A six-acre studio space for art, innovation and industry."	images:2014-american-steel-studios.jpg
30923	Ritual Coffee	http://makerfaire.files.wordpress.com/2014/04/1.jpg	1.jpg	"Ritual will be serving delicious batch brew coffee, espresso, lattes, cappuccinos, and iced coffee for you to enjoy."	Rtual Roasters	Ritual has been a pioneer in this delicious shift in coffee consciousness since we opened our doors on Valencia Street in 2005. Our goal is to craft the very best cup of coffee available anywhere.	images:1.jpg
30871	Noisebridge Hackerspace	http://makerfaire.files.wordpress.com/2014/04/nb_2169_500x500.png	nb_2169_500x500.png	"Noisebridge is an non-profit hackerspace for technical-creative projects, collaboratively run by our members. We are a 501(c)3 non-profit located in the heart of San Francisco. We teach, we learn, we share, we make things."	Noisebrige	"Noisebridge is an non-profit hackerspace for technical-creative projects, collaboratively run by our members. We are a 501(c)3 non-profit located in the heart of San Francisco."	images:nb_2169_500x500.png
30858	Team Rotorbits	http://makerfaire.files.wordpress.com/2014/04/new_wing.jpg	new_wing.jpg	"Competitor for Game of Drones, team member of Team Rotorbits."	Chris Forrette	Maker of drones	images:new_wing.jpg
